iteration,r2,mae,rmse,param_C,param_gamma,param_kernel,param_degree,param_coef0,param_tol,param_epsilon,param_max_iter,param_shrinking
51,0.429770462,0.321026519,0.363789811,13.98383943,0.008583743,rbf,2,0.922984677,0.006459367,0.429340015,19132,TRUE
52,-0.077180931,0.5,0.5,11.32767296,0.474330003,linear,4,7.71119223,4.24E-05,0.640742244,18167,TRUE
53,-0.22827911,0.39547954,0.533917565,183.6691095,0.001948535,sigmoid,5,5.609068648,0.000954887,0.120755142,46286,TRUE
54,0.149692298,0.282831607,0.444235982,781.6459104,0.038298296,linear,4,5.825095665,6.06E-05,0.156612848,9352,TRUE
55,-0.077180931,0.5,0.5,0.003619234,3.062518986,rbf,4,8.989814887,0.005026367,0.798161082,3614,FALSE
56,0.335502887,0.364785872,0.39271024,0.013559468,0.002479458,poly,3,6.669334106,0.001262041,0.360141848,37692,FALSE
57,-0.077180931,0.5,0.5,241.3579229,2.725411734,poly,3,8.646056962,0.002185882,0.976443973,12603,FALSE
58,0.398733155,0.262236342,0.373559086,127.5177651,4.766229728,linear,3,7.365644718,0.00226998,0.338863613,27982,TRUE
59,0.261656574,0.306722388,0.413956667,4.350852476,0.000111169,rbf,3,7.873745091,2.02E-05,0.11701467,3537,FALSE
60,0.42005742,0.242890107,0.366875047,694.997145,0.002627876,poly,3,8.165866056,8.24E-05,0.465700202,21000,TRUE
61,0.437468162,0.300506101,0.361326014,14.17004359,0.181888942,poly,2,6.600331827,4.71E-05,0.404481319,19258,TRUE
62,0.043822227,0.464173029,0.47108036,0.001283666,0.029476002,rbf,4,6.414817386,3.44E-05,0.405681601,36141,FALSE
63,0.49253719,0.263880121,0.343184596,7.903098491,1.762451004,linear,2,8.770384116,0.000939374,0.268603044,39049,FALSE
64,0.32586922,0.367492636,0.39554669,0.003647948,0.00689571,linear,2,5.96571255,6.25E-05,0.352230241,21557,FALSE
65,0.371444363,0.252372073,0.381942106,3.461187171,7.842676321,linear,5,8.995047329,0.000288554,0.198177987,3908,FALSE
66,0.445472811,0.260356511,0.358746026,6.121132155,0.942012179,linear,3,3.642214718,0.000322041,0.079274073,44531,FALSE
67,0.426329742,0.291252873,0.3648857,10.31678448,2.093330616,rbf,2,7.19754263,4.90E-05,0.307319046,21269,FALSE
68,-0.077180931,0.5,0.5,0.04837647,0.000132306,rbf,5,6.972084142,0.000863807,0.558868353,13572,FALSE
69,-0.238750403,0.46586168,0.536188605,927.476821,0.022372915,sigmoid,3,6.15514916,6.90E-05,0.307940376,36909,TRUE
70,-0.077180931,0.5,0.5,0.166322959,0.000119477,rbf,4,2.101826849,0.006094747,0.787901239,40758,FALSE
71,-0.106888954,0.427386645,0.50684796,2.072954649,0.072687937,sigmoid,5,4.421597993,0.008729608,0.221564387,32010,TRUE
72,-0.077180931,0.5,0.5,0.058437732,0.008423424,linear,4,5.154520099,0.003576103,0.636611447,22966,TRUE
73,0.498618276,0.249722123,0.341122154,0.815979496,0.007301874,poly,4,2.24640666,0.000152783,0.207138633,2600,TRUE
74,-0.077180931,0.5,0.5,380.2778316,0.000224947,poly,5,6.112739731,4.23E-05,0.770804446,30846,FALSE
75,-0.292553529,0.328187992,0.547709085,871.6117989,0.000501672,poly,5,4.94377169,0.000358913,0.251544595,43995,TRUE
76,-0.077180931,0.5,0.5,0.086159781,1.751253332,linear,5,2.188411368,2.57E-05,0.806068758,46607,FALSE
77,0.45837424,0.262228981,0.354548238,0.143531395,0.002937374,linear,3,9.174700145,0.002679683,0.130145013,9738,FALSE
