iteration,r2,mae,rmse,best_n_estimators,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_max_features,best_bootstrap,best_max_leaf_nodes,best_min_impurity_decrease
72,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
73,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
74,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
75,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
76,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
77,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
78,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
79,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
80,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
81,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
82,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
83,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
84,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
85,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
86,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
87,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
88,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
89,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
90,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
91,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
92,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
93,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
94,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
95,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
96,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
97,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
98,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
99,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
100,0.774222061,0.109838142,0.228910876,1000,50,20,1,sqrt,FALSE,1000,0
