iteration,fitness,r2,mae,rmse,param_n_estimators,param_min_samples_leaf,param_max_features,param_bootstrap
23,-0.4566445184114987,0.25963666850219425,0.3198686873881229,0.39641249952557006,216,18,,True
24,-0.463400994483504,0.26148413031105333,0.3289675271394275,0.39591759765512985,437,14,log2,True
25,-0.5736694686200138,0.13570539327289355,0.28106725171209535,0.428307610180812,291,9,,False
26,-0.7020586489115492,0.004559126701151328,0.24696210302196736,0.45965567259073326,395,2,,False
27,-0.4368238496849866,0.2725813501582254,0.3164734653920882,0.3929317344511238,389,15,,True
28,-0.41950574377654065,0.2837828150800694,0.3133939248573068,0.38989463399930324,504,12,,True
29,-0.415845486289728,0.2916519719547359,0.3197506477161965,0.3877468105282674,558,8,sqrt,True
30,-0.32372522254315433,0.34929786919442174,0.3013886089703959,0.3716344827671802,992,3,log2,True
31,-0.48018911967711075,0.25091281885219285,0.33236077469343756,0.39874116383586605,255,17,sqrt,True
32,-0.4351767681621591,0.27811154669332594,0.32185306081968224,0.3914352540358028,981,18,log2,False
33,-0.2638756651425304,0.381988315380139,0.28368500771380784,0.3621789728088616,921,4,log2,False
34,-0.3221524332563891,0.34692790453826894,0.29676969305124434,0.3723106447434137,51,6,sqrt,False
35,-0.4359882342079113,0.27868675121543773,0.3233957113012845,0.3912792741220645,615,10,log2,True
36,-0.5745072030824762,0.1501141914334735,0.29989898295645456,0.4247224115594951,821,18,,False
37,-0.417980397409421,0.28471854348684666,0.3130590862665981,0.38963985462966955,779,12,,True
38,-0.4036016211895251,0.29427915605430044,0.3108536895886354,0.3870270876551901,211,10,,True
39,-0.44382594783362567,0.2678346841124425,0.3174489722598644,0.39421165968620375,319,16,,True
40,-0.3502172903361557,0.3303494036597294,0.30356003642231355,0.37700665757357155,320,8,sqrt,False
41,-0.34615240792992114,0.33296842861895515,0.30285214379774933,0.37626869275112695,511,8,log2,False
42,-0.4426999716046447,0.26859560653929904,0.31728881922491137,0.39400675891903236,774,16,,True
43,-0.5744691562713704,0.15013547380002146,0.29988753637609783,0.4247170936952941,798,18,,False
44,-0.4576011085633307,0.26542614819079224,0.3281677287818422,0.39485952797228074,928,13,sqrt,True
45,-0.425419457738464,0.2837680092906254,0.3192888030594472,0.38989866396964223,90,15,sqrt,False
46,-0.17555612515730176,0.42276145598289094,0.24828977110065673,0.350027810039536,862,1,log2,False
47,-0.4023675025412811,0.3000639032598762,0.3169937998211841,0.38543760597997323,906,7,sqrt,True
48,-0.6423287021423243,0.03790685007235417,0.22834480307582955,0.4518907491388489,570,1,,False
49,-0.38474574483338453,0.30929885572748006,0.311158168242001,0.3828864323188636,697,11,sqrt,False
50,-0.4326613209857734,0.27961208697262985,0.32124519043144667,0.3910282175269566,548,17,log2,False
51,-0.2386952279359731,0.3957623601656115,0.2763374220453184,0.3581201660562662,441,3,sqrt,False
52,-0.23637405882276802,0.4014384617629314,0.2813783822071115,0.35643413837858795,468,1,sqrt,True
53,-0.6010450128143332,0.09572138578976064,0.2586636079536374,0.4381027906504565,428,5,,False
54,-0.5726554782958797,0.1321082612169464,0.2755657620308755,0.42919797748195065,539,7,,False
55,-0.5722996581961601,0.13231860945772467,0.2754723050180386,0.42914596263584626,90,7,,False
56,-0.41879785273497006,0.28938222617623466,0.3198125404585108,0.3883675384526939,250,8,log2,True
57,-0.20299856051247678,0.4138180219441516,0.2640876202662686,0.3527289621903598,829,2,sqrt,False
58,-0.46962236994075807,0.2575620123737187,0.3302168551129181,0.39696752720155865,82,16,sqrt,True
59,-0.3725764468335088,0.3190872918098242,0.3115000705420138,0.38016366810131924,552,5,sqrt,True
60,-0.41935802393111726,0.2839022174876723,0.3133981089423848,0.3898621324764048,148,12,,True
61,-0.6424827378994593,0.05326062983511615,0.24747292057836093,0.4482704471562145,921,3,,False
62,-0.342624543671163,0.3316360600325615,0.2976163076741426,0.37664429602958194,788,5,,True
63,-0.4115280623673844,0.29244158292406963,0.31643900992972274,0.38753063536173127,992,14,log2,False
64,-0.6415216998747394,0.03851740328710518,0.2282917638041708,0.4517473393576738,692,1,,False
65,-0.6247002322955408,0.11280791151515768,0.30356411202783934,0.4339440317828592,54,14,,False
66,-0.3901078223712701,0.30278406465607155,0.3082039731518801,0.3846879138754616,920,9,,True
67,-0.4406917890822411,0.2702000050200548,0.3173174162964317,0.39357437780586424,256,15,,True
68,-0.5752813479749092,0.13467687117673266,0.2813958388622295,0.4285623802894123,907,10,,False
69,-0.6187209537973993,0.11511626969784172,0.3004580923075931,0.4333791311876479,941,13,,False
70,-0.3345863732377759,0.3397886023486323,0.30003483569091305,0.37434013989549514,740,7,sqrt,False
71,-0.49009093124553665,0.2447222768752536,0.33442781307593117,0.4003853950448591,290,20,log2,True
72,-0.34802140356341715,0.334280023256458,0.3064028476134143,0.37589857920646086,145,4,log2,True
73,-0.6014419178713557,0.09551288078592612,0.25880150290937537,0.43815329574790646,783,5,,False
74,-0.37172355263333007,0.31389105583939936,0.3040031294635402,0.38161147900918924,456,7,,True
75,-0.4354882878411745,0.27337119348493577,0.3161411307366554,0.39271835058945487,798,15,,True
76,-0.6736503504543014,0.040584871769692055,0.2629738386230098,0.4512613836009837,220,4,,False
77,-0.3691795698035627,0.31541771739823443,0.303410606632184,0.38118668056961313,574,7,,True
78,-0.4404498954152878,0.27492429694911535,0.32307576628992773,0.3922984260744754,748,19,sqrt,False
79,-0.28898439421372424,0.36987655080981285,0.2931502086648393,0.3657107363586978,135,2,sqrt,True
80,-0.6189368774904327,0.11496905865351725,0.3004907575417505,0.4334151786021994,731,13,,False
81,-0.3876678827140923,0.3096282560101078,0.3145010179232625,0.3827951208009376,623,6,log2,True
82,-0.39395029115286795,0.30360859328558,0.3130985041103739,0.38446038032807406,845,12,sqrt,False
83,-0.4903512433133735,0.24482949895374373,0.33482376834251576,0.40035697392460146,605,20,log2,True
84,-0.4412351398633803,0.2753228656485326,0.3243674160163647,0.3921905894955482,847,11,sqrt,True
85,-0.3707282884811597,0.31444911891660865,0.3037211563595871,0.38145625103818126,689,7,,True
86,-0.18679025946956435,0.4151444779038931,0.2496050918113379,0.35232964556211954,239,1,sqrt,False
87,-0.48954896666280034,0.24516369627903778,0.3344442869139311,0.40026837602790705,434,20,sqrt,True
88,-0.2350378712151665,0.39803671432254195,0.27562903814034534,0.3574455473973631,794,3,sqrt,False
89,-0.3600056565246074,0.32085604086279196,0.3011921097725783,0.37966958761482106,408,6,,True
90,-0.364764166705844,0.32135027082060275,0.30658302255712183,0.3795314149693249,505,9,log2,False
91,-0.37253413055087126,0.3189241561969346,0.31124908085724207,0.3802092058905638,367,5,sqrt,True
92,-0.5650869074714546,0.15744242214309656,0.29964198946027965,0.4228873401542716,274,19,,False
93,-0.39184916948665,0.3051523116215674,0.31296746144873994,0.3840340196594775,283,12,log2,False
94,-0.42129899391503906,0.28646777282471314,0.3186036382055054,0.3891631285342468,713,15,log2,False
95,-0.42866096296814077,0.2832494547789167,0.3218706353048095,0.39003978244224796,876,9,sqrt,True
96,-0.47522970474453435,0.25442981606614734,0.3318555119029507,0.397804008907731,741,17,sqrt,True
97,-0.47405226290183233,0.2552076175710303,0.3316634263351018,0.3975964541377608,879,17,log2,True
98,-0.4625525814661795,0.25561040158075377,0.3206740536069077,0.39748892944002556,491,20,,True
99,-0.37045303443956273,0.31454805782760176,0.30357236816308997,0.3814287241040745,317,7,,True
100,-0.32450364656053143,0.3486994035407217,0.3013977062383108,0.37180534386294234,435,3,sqrt,True
