iteration,r2,mae,rmse,best_n_estimators,best_max_depth,best_learning_rate,best_subsample,best_colsample_bytree,best_colsample_bylevel,best_colsample_bynode,best_reg_alpha,best_reg_lambda,best_min_child_weight,best_gamma,best_max_delta_step,best_scale_pos_weight
53,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
54,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
55,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
56,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
57,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
58,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
59,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
60,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
61,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
62,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
63,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
64,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
65,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
66,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
67,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
68,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
69,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
70,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
71,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
72,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
73,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
74,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.981393604,1,0.064657869,1,1,0,10,0.5
75,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
76,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
77,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
78,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
79,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
80,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
81,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
82,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
83,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
84,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
85,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
86,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
87,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
88,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
89,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
90,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
91,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
92,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
93,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
94,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
95,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
96,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
97,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
98,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
99,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
100,0.819977,0.0843,0.171061,1000,15,0.01,1,1,0.954910659,1,0.059774794,1,1,0,10,0.5
