iteration,r2,mae,rmse,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_max_features,param_bootstrap,param_max_leaf_nodes,param_min_impurity_decrease
69,0.601368166,0.227895798,0.304166699,741,16,18,16,0.9,TRUE,684,0.016959107
70,0.060721898,0.434811392,0.466898818,577,45,12,3,0.9,TRUE,698,0.062083893
71,-0.011008902,0.450644245,0.48439892,875,15,6,1,sqrt,TRUE,496,0.122254795
72,-0.011007101,0.450645352,0.484398488,836,7,16,14,0.7,TRUE,745,0.13927085
73,-0.010891467,0.450716605,0.484370786,556,28,9,5,0.7,TRUE,924,0.150192895
74,-0.011282315,0.450477258,0.484464414,838,9,15,8,log2,FALSE,61,0.111481159
75,-0.011282315,0.450477258,0.484464414,989,10,16,5,0.9,FALSE,693,0.106226377
76,-0.011282315,0.450477258,0.484464414,622,41,12,15,0.5,FALSE,860,0.181370946
77,-0.010923073,0.450697092,0.484378358,506,13,17,15,,TRUE,870,0.127532287
78,-0.011282315,0.450477258,0.484464414,834,36,17,8,,FALSE,89,0.142708973
79,0.46438358,0.306033586,0.352575895,290,20,12,11,0.5,TRUE,151,0.030166132
80,-0.011282315,0.450477258,0.484464414,442,47,6,7,sqrt,FALSE,427,0.066176278
81,-0.011282315,0.450477258,0.484464414,527,29,3,7,0.9,FALSE,408,0.180967696
82,-0.011282315,0.450477258,0.484464414,648,47,2,19,0.3,FALSE,16,0.188548331
83,0.35474737,0.344452032,0.386981824,355,27,15,18,0.7,TRUE,509,0.043884327
84,0.256139931,0.346501063,0.415500259,496,34,2,13,,FALSE,751,0.033008946
85,-0.010911415,0.450704286,0.484375565,528,11,19,1,0.3,TRUE,95,0.12854993
86,0.256139931,0.346501063,0.415500259,188,32,7,2,,FALSE,345,0.042332057
87,-0.011282315,0.450477258,0.484464414,384,24,14,9,0.9,FALSE,268,0.166982183
88,0.619585129,0.212795383,0.297135416,531,4,19,2,,TRUE,675,0.013723674
89,0.37618633,0.342878085,0.38049865,717,5,2,8,log2,TRUE,646,0.030476469
90,0.195593878,0.397666974,0.432079199,179,33,5,19,log2,FALSE,726,0.051248739
91,0.703830476,0.143321379,0.262177766,427,13,5,6,,TRUE,602,0.005135685
92,-0.010743179,0.450808534,0.484335258,369,39,14,13,0.7,TRUE,87,0.118419572
93,-0.011282315,0.450477258,0.484464414,900,43,9,4,0.7,FALSE,880,0.136851808
94,-0.011282315,0.450477258,0.484464414,874,10,20,2,,FALSE,687,0.074114175
95,-0.011282315,0.450477258,0.484464414,568,44,12,1,0.9,FALSE,852,0.098040341
96,-0.010909784,0.450705293,0.484375174,493,26,16,5,0.3,TRUE,761,0.104349349
97,-0.011282315,0.450477258,0.484464414,716,20,19,16,0.3,FALSE,855,0.146205243
98,-0.011282315,0.450477258,0.484464414,324,23,9,3,,FALSE,259,0.150095256
99,-0.011282315,0.450477258,0.484464414,633,42,14,11,sqrt,FALSE,881,0.065002834
100,-0.011282315,0.450477258,0.484464414,549,16,13,9,,FALSE,911,0.119231002
