iteration,r2,mae,rmse,best_C,best_gamma,best_kernel,best_degree,best_coef0,best_tol,best_epsilon,best_max_iter,best_shrinking
46,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
47,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
48,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
49,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
50,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
51,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
52,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
53,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
54,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
55,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
56,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
57,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
58,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
59,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
60,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
61,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
62,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
63,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
64,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
65,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
66,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
67,0.575332315,0.198989206,0.313942623,1.28476542,0.060363337,poly,4,10,1.00E-05,0.119085398,41307,TRUE
68,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
69,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
70,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
71,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
72,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
73,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
74,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
75,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
76,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
77,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
78,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
79,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
80,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
81,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
82,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
83,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
84,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
85,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
86,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
87,0.582290951,0.19537179,0.311359856,1.192913963,0.078736565,poly,4,10,1.00E-05,0.117779195,42540,TRUE
