iteration,r2,mae,rmse,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_colsample_bylevel,param_colsample_bynode,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma,param_max_delta_step,param_scale_pos_weight
38,0.390159904,0.28946792,0.368160301,274,5,0.243191858,0.878364711,0.785819954,0.822962318,0.966988006,0.121358599,0.133339106,8,3.337888663,8,1.393178478
39,0.411134226,0.274584594,0.358924842,823,10,0.187669174,0.887709585,0.801911266,0.932227668,0.81914878,0.897208103,0.743655442,8,2.250348786,3,1.759794332
40,0.441880677,0.23307986,0.344757459,333,15,0.235525702,0.793838807,0.695698346,0.775949037,0.885417945,0.234493578,0.335847537,9,0.402888288,2,0.84689222
41,0.336929598,0.323822832,0.390282663,760,5,0.214861551,0.62569154,0.763039748,0.817044456,0.766309694,0.20683439,0.420143518,10,4.730310168,0,1.785098048
42,0.381127657,0.30242711,0.372040837,833,12,0.120310498,0.602358433,0.740703521,0.90139005,0.94137918,0.953430338,0.419021283,9,3.999340855,3,1.232344216
43,0.408834024,0.283012575,0.359953691,329,9,0.150836178,0.755542881,0.867549448,0.91925693,0.889672551,0.840505663,0.919541621,10,2.670618148,6,1.387839163
44,0.34126949,0.316630513,0.388542529,728,3,0.034344764,0.771445108,0.946740542,0.672691611,0.704062526,0.327352667,0.454699325,6,3.806148539,6,0.917384923
45,0.344567719,0.307227437,0.387213011,901,9,0.083158744,0.632762493,0.607753315,0.815767619,0.999963131,0.349960344,0.650144093,1,3.77116602,3,0.799041024
46,0.392252789,0.299411646,0.367253092,70,12,0.05419088,0.65048839,0.867783538,0.825587833,0.687185816,0.699464971,0.766898098,3,3.029463463,1,1.666687829
47,0.37446462,0.301018932,0.374868374,217,7,0.041348637,0.61027137,0.724782898,0.870938915,0.983269135,0.396654442,0.715014705,2,2.960489306,10,0.864274071
48,0.455379972,0.23026118,0.338271271,763,15,0.097458979,0.873703616,0.922211185,0.918490887,0.826373022,0.04106913,0.532745245,6,0.344783683,10,1.011846762
49,0.364843025,0.309242606,0.37890083,919,9,0.248475966,0.642215548,0.984315027,0.854234042,0.931482924,0.707308644,0.435487145,9,4.827368656,4,1.423868531
50,0.362271792,0.308495334,0.379968612,991,11,0.234646021,0.785949509,0.930293839,0.836989848,0.728921833,0.245495169,0.934621879,5,4.40815592,3,1.625714423
51,0.381425903,0.299942847,0.371913585,633,12,0.203774656,0.734558648,0.797722601,0.730005667,0.795019973,0.354824966,0.258352409,5,4.401599899,4,1.333686542
52,0.454029965,0.240691006,0.338927851,579,6,0.034827759,0.888029866,0.795431139,0.903265861,0.876243736,0.6459029,0.490821335,1,0.465266753,3,1.106601693
53,0.404344148,0.262531333,0.361950309,299,7,0.202548406,0.74760818,0.821389182,0.737502958,0.998652586,0.550388473,0.351810528,8,1.354582135,4,0.845807062
54,0.378541048,0.311493319,0.373141971,788,6,0.101508904,0.897152425,0.980351024,0.876065422,0.676616389,0.738604654,0.276499627,10,4.883035114,8,1.395186111
55,0.380145653,0.306288484,0.372459406,152,6,0.095911474,0.744352428,0.720907036,0.883207394,0.650633184,0.045515701,0.05452602,5,3.487086965,2,1.456804483
56,0.433532495,0.252024177,0.348683977,820,10,0.039750418,0.604906161,0.713735731,0.791485683,0.736282373,0.965497643,0.25247839,8,0.570435704,1,1.101061163
57,0.358528975,0.300451917,0.38151569,125,12,0.192539255,0.62144363,0.659679034,0.825135839,0.721534205,0.993918123,0.118451562,7,3.031588256,9,0.838530706
58,0.374788299,0.310277563,0.37473169,585,9,0.140649195,0.777088402,0.944066666,0.996012504,0.722152098,0.621027321,0.609630912,2,4.737951002,3,1.438272546
59,0.428386074,0.265994018,0.351073971,320,13,0.033544365,0.695946071,0.820796898,0.662613046,0.763407029,0.689371136,0.469912479,1,1.157381173,4,1.554481337
60,0.397023345,0.276497581,0.365173584,514,4,0.209341627,0.969564418,0.915131211,0.850023203,0.864473217,0.933668458,0.425138966,9,1.124047251,2,1.862617168
61,0.375338084,0.3067099,0.374499368,896,5,0.030708853,0.666369116,0.723044725,0.899583089,0.82768282,0.288610588,0.124353658,5,3.498668425,4,1.250708266
62,0.366544172,0.30672335,0.378192125,555,10,0.033328137,0.615944314,0.772811466,0.728928633,0.700147161,0.091326887,0.961911102,10,2.935614659,0,1.999358625
63,0.393590302,0.289322211,0.3666717,738,7,0.177111626,0.905243602,0.670076291,0.807585536,0.776891762,0.278156572,0.996945475,7,3.173923597,7,1.953582854
64,0.293337934,0.31412976,0.407215064,531,8,0.128420947,0.728423302,0.641839954,0.664329941,0.764658036,0.495469021,0.662583537,7,4.067830174,8,0.555045695
65,0.414426625,0.278531157,0.357445042,140,8,0.083195667,0.646368641,0.90901917,0.945964234,0.929970881,0.001151067,0.869367484,8,2.066237854,3,1.277659089
66,0.428514203,0.257093767,0.351014745,687,15,0.154563,0.776816382,0.62064471,0.706822495,0.652405292,0.288029145,0.880846617,8,0.607130417,10,1.413307501
67,0.387383201,0.299821323,0.369359211,295,14,0.055929668,0.820335603,0.820900564,0.637283681,0.996902856,0.912929878,0.461447894,2,3.238548444,2,1.247563257
68,0.400112293,0.287598448,0.363818355,783,7,0.157572884,0.709369959,0.933889578,0.992097853,0.697492362,0.551265077,0.383586013,10,2.541204458,2,1.796040402
69,0.404399993,0.281654596,0.361925569,332,15,0.239101793,0.765976969,0.973699357,0.80309507,0.928219789,0.282838983,0.29855585,10,2.899616919,10,1.23446052
70,0.386866217,0.293081225,0.369581843,202,10,0.166188368,0.738049577,0.820766967,0.817372025,0.782137847,0.32177735,0.188652374,4,2.85898821,3,1.784019464
71,0.342076539,0.297910136,0.388217774,470,3,0.102271135,0.7891905,0.965372067,0.752492459,0.995365601,0.792393661,0.652019001,3,2.476643248,0,0.689369405
72,0.552095385,0.217588099,0.34275097,654,8,0.262213091,0.94967615,0.776122484,0.810380435,0.78277123,0.722443828,0.40997862,3,0.374141241,4,1.007841851
73,0.39133592,0.297485557,0.367650909,759,9,0.198452629,0.940706117,0.940936535,0.943736874,0.752003759,0.316661154,0.718717425,8,4.361915087,0,1.426189192
74,0.365746192,0.29259987,0.378524791,290,13,0.208475877,0.714951602,0.690994512,0.636151732,0.991335091,0.760369693,0.703890829,2,2.218392758,4,1.855136093
75,0.423352091,0.259186282,0.353389942,97,8,0.240881605,0.71734711,0.749936436,0.658227918,0.812466527,0.565928062,0.792519474,3,0.875346775,9,1.806259398
76,0.391278973,0.305559442,0.367675598,684,13,0.07984064,0.965131606,0.657247088,0.784459965,0.701590936,0.255326708,0.009397431,8,4.506047118,10,1.319897206
77,0.383026457,0.285747102,0.371229662,125,10,0.284118334,0.995060678,0.7196617,0.984811629,0.876125405,0.456835813,0.302121671,7,4.266677293,1,0.855808553
78,0.383551472,0.302582754,0.371004945,635,8,0.17669546,0.997076817,0.718092302,0.991177794,0.863291926,0.27448038,0.565929017,1,4.553084769,7,1.74925835
79,0.3760286,0.29972659,0.3742073,974,7,0.234964884,0.692047356,0.920772783,0.687601816,0.676052796,0.2506268,0.755577324,3,3.141240518,10,1.469510913
80,0.407564742,0.294432973,0.360519684,366,15,0.137838725,0.831829522,0.892943907,0.63605335,0.718044181,0.747480865,0.17564007,3,3.932564055,5,1.296278561
81,0.39711012,0.272100469,0.365135608,985,7,0.25083706,0.702788034,0.929875925,0.792739132,0.922595398,0.746559351,0.338715254,2,2.341656944,1,0.711135523
82,0.42228471,0.248012483,0.353878294,281,13,0.220022847,0.991976897,0.986907899,0.921835058,0.74631002,0.790681969,0.013918655,9,0.617943684,5,1.509242573
83,0.421048968,0.261509406,0.354442505,738,7,0.179522427,0.92896692,0.976116757,0.643338441,0.693528761,0.02502465,0.884234845,9,1.640031409,9,0.8320508
84,0.433206303,0.2490544,0.348836142,114,13,0.248918052,0.963755055,0.72087607,0.763318342,0.655910805,0.946261533,0.304364584,8,0.580602404,3,1.830888963
85,0.399101996,0.292885303,0.364262372,188,9,0.141556689,0.868194488,0.897256049,0.978389634,0.767650701,0.742269015,0.154522902,7,3.274609487,7,1.423478321
86,0.398442905,0.258160007,0.364551636,336,3,0.210181392,0.686907874,0.777878344,0.694445055,0.745074416,0.980927718,0.367334958,6,0.302750446,4,0.784712843
87,0.423478091,0.258338833,0.353332232,175,10,0.036585293,0.684842326,0.855797167,0.988437325,0.620231404,0.333509156,0.988820904,10,1.026027876,8,0.810736056
88,0.371752806,0.309999741,0.376010871,271,6,0.10528227,0.659021672,0.960212414,0.601134221,0.943362451,0.14468798,0.129992131,5,3.992569118,1,1.491586464
89,0.291434146,0.371763271,0.407933338,76,5,0.014309495,0.915993866,0.695172642,0.729508585,0.669698481,0.052399018,0.741718057,9,0.568246534,1,1.214368948
90,0.397858314,0.272016758,0.364807938,846,8,0.158839008,0.643621604,0.801535476,0.978166257,0.617346015,0.783226996,0.866980908,9,1.508151645,10,1.946039275
91,0.417310517,0.251098225,0.356141826,112,10,0.255716578,0.770509448,0.643184732,0.884960526,0.777424932,0.899266765,0.32211182,3,0.328411167,4,1.436476241
92,0.355339904,0.306401373,0.382827203,649,11,0.216524311,0.75236176,0.838956742,0.717959098,0.80222043,0.430199326,0.793096093,2,4.263963686,10,1.81655932
93,0.422438812,0.264290526,0.353807847,614,14,0.260992772,0.772027977,0.955236409,0.765525428,0.93096769,0.398730184,0.729612508,6,2.133820031,10,0.882334695
94,0.430860435,0.237881586,0.349927733,206,13,0.27766566,0.626853323,0.932708755,0.637292041,0.638625773,0.738795998,0.811769285,9,0.29990489,8,1.342525072
95,0.402625187,0.279198124,0.362710703,736,4,0.129134504,0.949442949,0.976451948,0.769174742,0.966337468,0.05144608,0.287629408,5,1.758230928,9,1.26111882
96,0.381752337,0.303127223,0.371774238,208,13,0.149834925,0.938909939,0.740045598,0.82250619,0.645954125,0.278568212,0.226159094,7,4.225775807,9,1.420359921
97,0.427779242,0.272391799,0.351354286,708,11,0.017613611,0.971633716,0.931784316,0.70697909,0.672166429,0.702698773,0.308984689,6,1.755117104,2,1.80479406
98,0.432924773,0.248443736,0.348967397,629,13,0.12622746,0.656749862,0.853268805,0.612262839,0.898444705,0.21513288,0.419832494,6,0.787046379,4,1.582393952
99,0.416622911,0.277963297,0.356453153,845,12,0.182904894,0.953336874,0.662231961,0.901774352,0.619904997,0.081581528,0.443112974,7,2.428308524,7,1.121275607
100,0.371046933,0.275021618,0.376307483,270,15,0.158580429,0.738069142,0.644355909,0.871287157,0.8372537,0.526934107,0.308419392,4,1.97631698,9,0.582172938
