iteration,fitness,r2,mae,rmse,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
1,-0.3521696820172592,0.298473596572876,0.2647680342197418,0.38587524437039333,152,0.24099746618946752,0.6733739159464655,0.9118764001091078,0.596850157946487,0.44583275285359114
2,-0.3081898967626163,0.35011422634124756,0.2869028151035309,0.371401308000333,264,0.026844247528777843,0.9464704583099741,0.8404460046972835,0.7080725777960455,0.020584494295802447
3,-0.2962073911595804,0.3389742374420166,0.2606106698513031,0.3745709587502939,819,0.21937964395737916,0.9754210836063001,0.6003115063364057,0.9922115592912175,0.6174815096277165
4,-0.2415021331167937,0.3751299977302551,0.25244906544685364,0.3641830654001952,363,0.16217936517334897,0.7727780074568463,0.7164916560792167,0.6118528947223795,0.13949386065204183
5,-0.31755019531012846,0.31925874948501587,0.25669312477111816,0.38011582002402616,525,0.29238910046402317,0.6931085361721216,0.6362425738131283,0.6183860093330873,0.38246199126716274
6,-0.22138788197408177,0.3819020986557007,0.2410857230424881,0.36220425758729435,293,0.18180022496999232,0.6185801650879991,0.8430179407605753,0.17052412368729153,0.06505159298527952
7,-0.2658151158832848,0.3521413803100586,0.24713489413261414,0.3708216020607293,437,0.28323850914860726,0.8253152871382157,0.7541666010159664,0.015966252220214194,0.230893825622149
8,-0.2770875078729519,0.35647809505462646,0.2639872133731842,0.36957838955439415,141,0.13764422318448438,0.6488152939379115,0.798070764044508,0.034388521115218396,0.9093204020787821
9,-0.22281628732514513,0.38387781381607056,0.24506919085979462,0.3616249102814211,981,0.06284846545853807,0.902144564127061,0.7700623497964979,0.20794166286818883,0.5677003278199915
10,-0.3428019050735037,0.302966833114624,0.261131227016449,0.38463751117167877,526,0.291179542051722,0.9100531293444458,0.9757995766256756,0.8948273504276488,0.5978999788110851
11,-0.2783169033110587,0.35062187910079956,0.25768256187438965,0.3712562205374686,865,0.10469682295369225,0.8281775897621597,0.8083337040103294,0.9611720243493491,0.8445338486781514
12,-0.23044315217785216,0.3796255588531494,0.24719806015491486,0.3628706508760867,798,0.08869121921442981,0.9314950036607718,0.7427013306774357,0.28093450968738076,0.5426960831582485
13,-0.34365868785546055,0.3223142623901367,0.2867111563682556,0.37926179387734166,90,0.09591931665418388,0.6661067756252009,0.6062545626964776,0.4234014807063696,0.3948815181755697
14,-0.3071217925445125,0.34926629066467285,0.2847445607185364,0.37164352249064897,697,0.011601413965844696,0.9261845713819337,0.8827429375390468,0.7290071680409873,0.7712703466859457
15,-0.3084629707914623,0.3270002007484436,0.2575148940086365,0.3779482775312694,822,0.2786272547688712,0.8604308102007778,0.9659838702175123,0.8500385777897993,0.4494506741382034
16,-0.40555625292509223,0.2986185550689697,0.31833943724632263,0.3858353707477393,82,0.028431921582946856,0.7243929286862649,0.7300733288106989,0.7296061783380641,0.6375574713552131
17,-0.30248684853949764,0.3335018754005432,0.2598704993724823,0.37611822456755856,596,0.1469423282969653,0.6478376983753207,0.885297914889198,0.7607850486168974,0.5612771975694962
18,-0.2465671263620528,0.3691589832305908,0.2498071789741516,0.365918930618492,816,0.08425981360078394,0.6161734358153725,0.8842651558743149,0.11089082081183133,0.4393365018657701
19,-0.2661017246175071,0.37041181325912476,0.27095815539360046,0.3655553824830314,740,0.019114463849152934,0.8545641645055122,0.7257423924305306,0.5085706911647028,0.907566473926093
20,-0.2833810452367882,0.345966100692749,0.25676241517066956,0.37258473075886767,456,0.185281039990567,0.8159364365206693,0.6812244898939077,0.942853570557981,0.598865466488536
21,-0.26385697862886054,0.36839914321899414,0.2661168873310089,0.36613923451684577,292,0.05675417330366128,0.9718790609370292,0.9232481518257668,0.6334037565104235,0.8714605901877177
22,-0.3408061517187609,0.3278350234031677,0.29092738032341003,0.3777137947985186,77,0.07334772679288173,0.7666039791481465,0.9533121035675474,0.32434502100527396,0.12208795470067335
23,-0.23871853309825958,0.37517350912094116,0.24972166121006012,0.3641703810091406,522,0.10222100774184051,0.6440207698110707,0.6911740650167767,0.4271077886262563,0.8180147659224931
