flood,lulc,Density_River,Density_Road,Distan2river,Distan2road_met,aspect,curvature,dem,flowDir,slope,twi,NDVI,rainfall
1,0.0,0.0,0.3063661754117902,0.937756489260035,0.013369681186615433,0.7909535577838801,0.5476190277040613,0.01639344262295082,0.49606299212598426,0.03955578619959046,0.2210584127371096,0.5882826527538911,0.8075695425657311
1,0.2857142857142857,0.050236220472440946,0.5116964760522467,0.39895088581984894,0.03995163163397483,0.32841176744815886,0.42857140341565636,0.4414086217364906,0.0,0.15576814379847587,0.22164029329952378,0.4875013577515579,0.14079522457674598
1,0.7142857142857143,0.6913385826771653,0.1321520463047289,0.0,0.013529171256359891,0.77722884565436,0.5476190277040613,0.11414693381906496,0.023622047244094488,0.23965388658153036,0.11766506167289074,0.25887933961437787,0.062079754469402004
1,0.0,0.2929133858267716,0.09211219675084606,0.20681468278320195,0.03719371761847544,0.9589518173523686,0.5952380774194233,0.06132361870066788,0.49606299212598426,0.2831867522547015,0.06835277476770456,0.8127829499364497,0.7367931282389194
1,0.0,0.1905511811023622,0.17778094266104685,0.4229040702915411,0.03656414385349227,0.7050315453211473,0.5952380774194233,0.39344262295081966,0.11811023622047244,0.1150036524759986,0.17616086402730324,0.9231960641483927,0.5399476420891239
1,0.2857142857142857,0.1763779527559055,0.354158872788393,0.035564864542579656,0.002390298859427804,0.5144670871969507,0.5952380774194233,0.4098360655737705,0.023622047244094488,0.3058394269909713,0.1658571857687387,0.6708884430506357,0.10935602573488103
1,0.0,0.23622047244094485,0.08633090236388805,0.2621118761909149,0.14601609908640326,0.4580137824860199,0.47619045313101843,0.42926533090467517,0.023622047244094488,0.1390944111332757,0.1969773876359694,0.9196962421054458,0.46609103061428975
1,0.2857142857142857,0.25039370078740153,0.08234219574119178,0.30725718985120093,0.08225685952659852,0.21645892670430203,0.5952380774194233,0.1092896174863388,0.05511811023622047,0.0639593914082526,0.28537205224400103,0.3067897503045028,0.09530415579035283
1,0.0,0.1653543307086614,0.03512508777252718,0.042362371420051184,0.31562039752485355,0.009996829650825928,0.5714285525617423,0.10261080752884032,0.49606299212598426,0.4060058439615977,0.07956004278429797,0.8673416203098671,0.8178678393263973
1,0.0,0.4708661417322834,0.4884827566562794,0.13425141961894135,0.0,0.41972123681634227,0.49999998018982944,0.40012143290831814,0.023622047244094488,0.15387840064521566,0.18285581178317917,0.704366399148255,0.09661302714876485
1,0.0,0.4047244094488189,0.09361318644092798,0.12242055717045722,0.09194504512923035,0.13647022618949836,0.5238095028463804,0.14814814814814814,1.0,0.3558970753748746,0.11726791992854949,0.9302548571948371,0.6386044447729206
1,0.0,0.12283464566929132,0.0022430270910334307,0.2730367096121184,0.35093097227243225,0.1251229845736498,0.7380952221632491,0.644808743169399,1.0,0.4103233267610801,0.0459799627724962,0.7218889772464492,0.2825782106571324
