flood,Density_River,Density_Road,Distan2river,Distan2road_met,NDVI,aspect,curvature,dem,flowDir,lulc,rainfall,slope,twi,NDBI,NDWI
1,4.16E-04,7.0413947,393.91092,21.499998,0.26232034,90,-11,158,8,40,560.5148,1.3934064,11.859108,-0.1729548,-0.5282284
1,4.04E-04,12.251444,603.40735,212.83913,0.1946723,0,5,11,1,40,1077.5101,0.4645502,11.859108,0.23898375,-0.27955183
1,1.27E-04,1.6736913,1254.3899,1352.1322,0.31146094,160.11484,13,610,2,30,635.7391,11.454289,7.720366,-0.017607551,-0.5903546
1,1.37E-04,0.10542997,236.23573,641.1085,0.24608137,36.869896,-4,389,64,10,785.11066,2.3215306,9.281996,-0.008227067,-0.70741904
1,1.95E-04,1.9615012,2074.176,42.999996,0.12283252,271.73572,-16,274,64,30,517.27576,7.623457,7.0891304,0.09171005,-0.4327227
1,4.45E-04,11.488211,71.47445,60.809933,0.2577832,78.69007,-6,12,1,40,1069.5377,1.1842326,7.459422,0.05468952,-0.44878563
1,1.69E-04,4.4152117,881.7277,294.39883,0.38538837,94.398705,-11,552,4,10,681.8857,6.0347114,6.513139,-0.2328712,-0.63976485
1,2.02E-04,5.773768,1161.5807,56.576008,0.014793666,315,0,3,64,80,935.94037,1.3137449,7.893446,-0.46107784,-0.031349067
1,1.26E-04,3.9557955,2307.3933,129.68169,0.20897011,284.03625,-14,482,16,40,679.49646,3.8251698,7.0025625,-0.13859203,-0.517179
1,1.76E-04,2.7101252,177.11955,0,0.33704898,183.81407,0,61,4,10,883.5511,3.487623,7.679184,0.040603664,-0.5514236
1,3.60E-04,4.8977203,21.499998,91.21677,0.41091603,23.19859,19,179,64,10,472.93256,1.7684314,9.541855,-0.2749274,-0.6377202
1,1.89E-04,2.046171,1313.9253,583.9143,0.13018139,63.924644,-22,669,2,30,378.4059,22.989767,7.6213474,0.045574635,-0.53723407
1,3.90E-04,2.6318476,872.5173,129.74591,0.28337845,263.15723,-10,264,16,30,316.17148,5.8284774,7.0019727,0.020319864,-0.57750684
1,1.28E-04,4.1319213,2585.1804,107.49999,0.080515996,180,-2,455,2,40,670.89856,0.9290393,8.181434,-0.042433638,-0.49693933
1,6.03E-04,2.9742632,71.474106,84.16956,0.06868105,29.054604,3,190,2,30,407.30774,2.3900836,7.7229652,0.16523868,-0.28474134
1,3.92E-04,2.4913802,945.99994,278.6858,0.105014235,292.38013,1,108,16,30,841.56555,4.262538,7.537589,-0.2074609,-0.59194034
1,1.13E-04,1.4326828,2990.2327,60.785393,0.09941362,150.94539,-3,229,128,40,461.42648,2.3900836,7.652755,0.1616674,-0.25923473
1,3.29E-04,7.86086,730.432,21.499998,0.38497952,4.3987045,-5,592,2,30,403.59894,3.0257473,7.702088,-0.15639001,-0.63746226
1,1.96E-04,0,3125.9036,7781.0566,0.22097623,235.30484,-29,604,4,10,688.2159,14.380891,6.474481,-0.25736293,-0.63187295
1,1.12E-04,0.52405995,2144.0034,383.1978,0.15047865,65.556046,0,366,1,40,548.52747,2.8044105,7.763635,0.051701933,-0.510551
1,2.28E-04,10.335154,1155.4124,60.811176,-0.07661249,149.03624,-28,2,1,80,1172.0385,2.7068136,7.571999,-0.1004313,0.32882375
1,1.55E-04,0.73715556,629.6166,2790.8074,-0.11386188,-1,0,202,4,80,570.43286,0,11.859108,-0.22531645,0.5754386
1,3.21E-04,6.1156464,294.62766,30.405588,0.15314592,233.1301,-2,6,4,40,1059.6826,2.3215306,6.72148,0.047434207,-0.43592745
1,1.46E-04,7.3791313,2198.1538,60.811176,0.2959517,105.9454,15,16,1,10,957.35864,3.3781307,8.388783,0.18046972,0.00711344
1,2.55E-04,11.575606,1185.818,187.16727,-0.03707429,-1,0,0,64,80,1236.096,0,11.859108,0.0647482,0.252483
1,2.74E-04,0.8892225,945.99994,1553.8625,0.11204195,285.9454,1,453,2,30,529.25,3.3781307,7.1444736,0.10877387,-0.40857393
1,2.55E-04,5.7276196,805.4486,105.22559,0.3985251,265.9144,1,598,16,10,407.86252,6.4924836,7.2970023,-0.10742937,-0.6261203
1,1.61E-04,3.8580918,3475.2158,807.6036,0.1353327,85.601295,-4,185,128,40,569.2616,3.0257473,6.9515653,0.023036031,-0.452151
1,2.27E-04,5.8466697,1773.0543,42.999996,0.36727384,135,-8,673,32,10,392.93915,0.9853842,7.054911,-0.24427333,-0.6956978
1,1.42E-04,1.6589361,1798.745,334.4615,0.28541237,17.650124,15,91,64,10,1050.9954,10.602508,7.9710126,0.001302932,-0.61879617
