flood,den_riv,den_road,dis_riv,dis_road,ndvi,aspect,curvature,dem,flow_dir,lulc,rainfall,slope,twi
1,0.461890243902439,0.0793179090447638,0.11060067780621238,0.016806643373319687,0.26401629694594736,0.33586821050414556,0.21710526315789475,0.16358024691358025,0.015625,0.42857142857142855,0.31138420039273706,0.1259163739477648,0.0
1,0.34603658536585363,0.07719372749619302,0.1356154584046012,0.016166941251049827,0.2697757831403118,0.10272126628599862,0.2894736842105263,0.2816358024691358,1.0,0.42857142857142855,0.23934585259819433,0.15579948089066098,0.23391620784953632
1,0.006844512195121951,0.03477300064175141,0.6443511592722193,0.023455841872244355,0.4256255831255973,0.9252659637477795,0.6447368421052632,0.2662037037037037,0.5,0.0,0.35251829218174024,0.31860377150068786,0.45222409821489484
1,0.23628048780487804,0.08181887385575912,0.09139197432888535,0.16695305617788014,0.13685653635618958,0.15898910056451046,0.3092105263157895,0.16666666666666666,0.015625,1.0,0.12137249755237185,0.08283981025918159,0.10027057923822248
1,0.43749999999999994,0.09471659203485738,0.05702107393032942,0.0023996003470628685,0.32304214191245784,0.17875530281009053,0.46710526315789475,0.08333333333333333,0.03125,0.42857142857142855,0.61034987946825,0.02571396225280966,0.3830779444270563
1,0.4527439024390244,0.1244153307765192,0.0460554846730601,0.01100209270571008,0.5751544716457838,0.8335796358776373,0.4868421052631579,0.3148148148148148,0.5,0.0,0.45861490593043863,0.1513480278234446,0.4441892609639204
1,0.48780487804878053,0.1708724730453491,0.10899053103252425,0.03601423422068941,0.7202231811150833,0.81228910893704,0.39473684210526316,0.14583333333333334,0.015625,0.42857142857142855,0.3629121381833646,0.061894892427644836,0.1496878413860142
1,0.38871951219512196,0.45006499565874053,0.18922898319275613,0.004801897790806499,0.37710941035515055,0.17875530281009053,0.46710526315789475,0.020833333333333332,0.015625,0.7142857142857143,0.872364314290129,0.05141103313938506,0.30309039580626157
1,0.26676829268292684,0.4275807719174328,0.012708875662627793,0.004720087384795374,0.7165096859198338,0.20130981538433712,0.4868421052631579,0.006944444444444444,0.0078125,0.42857142857142855,0.6750073884555812,0.03636105110889728,0.5382340732425153
1,0.32621951219512196,0.22116631532051226,0.41467725660669286,0.00679090899328079,0.44641266348248543,0.7743621605609251,0.5131578947368421,0.1550925925925926,0.5,0.42857142857142855,0.28589555384132953,0.04065066592410343,0.47342377808077635
1,0.11524390243902438,0.8119393215779784,0.4202881512847798,0.0,0.4338008420671333,0.0027741979835242602,0.4605263157894737,0.5671296296296297,0.5,0.5714285714285714,0.09519119600026195,0.10332489326169163,0.36375881270034494
1,0.4161585365853659,0.12015060723035757,0.29909168173628065,0.023768181871303102,0.5241429728805692,0.26117675819097214,0.3223684210526316,0.3587962962962963,0.0078125,0.2857142857142857,0.4498950955777566,0.5020132364637535,0.26587036424770877
1,0.42835365853658536,0.05590061869577521,0.1752349492910209,0.21406628780760056,0.4772618826692141,0.7518076535350745,0.4473684210526316,0.35725308641975306,0.25,0.42857142857142855,0.28777127685712384,0.03449587837542934,0.4894809207522626
1,0.2606707317073171,0.06315117722540638,0.39828103374831897,0.09205299310138323,0.6155854361754081,0.624025569893782,0.5394736842105263,0.3441358024691358,0.125,0.0,0.488259833745052,0.4259407417797806,0.4682660789186608
1,0.5442073170731707,0.826980389612051,0.009212482781469924,0.005643545698242924,0.6372755467437602,0.7518076535350745,0.47368421052631576,0.0015432098765432098,0.0078125,0.2857142857142857,0.9069823669095395,0.03449587837542934,0.26800747454065804
1,0.5182926829268293,0.027336078377907032,0.18557549264581075,0.23809465075298558,0.9042824439227839,0.9129660853741675,0.6710526315789473,0.8040123456790124,0.125,0.0,0.21059773520773512,0.6647000425836715,0.3854493690068647
1,0.6158536585365854,0.07491711049012399,0.025368776439828176,0.22628406628306977,0.39608615315007134,0.3772909257592994,0.375,0.25540123456790126,0.015625,0.42857142857142855,0.41856962457919633,0.024394673023081955,0.2681166561796389
1,0.021189024390243904,0.04226757570529478,0.12985424840708196,0.0811880270259258,0.4009296900191176,0.14013580919776464,0.5592105263157895,0.2816358024691358,1.0,0.2857142857142857,0.45196143205850603,0.3051928238702856,0.3970486765690819
1,0.3567073170731707,0.06117611162293845,0.007283058761702072,0.09168770532631586,0.36815561979606415,0.12761310724211597,0.5526315789473685,0.21450617283950618,0.0078125,0.0,0.23571592369042604,0.2573732992185335,0.40050082454803027
1,0.19664634146341461,0.060755060304976995,0.1851365323349306,0.11578787819445185,0.13153290293826836,0.0,0.4342105263157895,0.036265432098765434,0.0078125,1.0,0.8122513294320908,0.0,1.0
1,0.35365853658536583,0.0032814087706857197,0.06637916447694839,0.3103246781345655,0.7199458594201633,0.7611468800786896,0.34868421052631576,0.4791666666666667,0.125,0.0,0.5308791040130009,0.47146731854846546,0.22983404916902356
1,0.7408536585365854,0.6069626751518038,0.05109637766193579,0.004801897790806499,0.4873824706041311,0.25245201650070764,0.4144736842105263,0.016203703703703703,0.0078125,0.42857142857142855,0.776707432059763,0.022999769987272926,1.0
1,0.36890243902439024,0.22450504493975745,0.016241500900912663,0.0925194180537758,0.07169157371915301,0.0,0.4342105263157895,0.39274691358024694,0.125,1.0,0.0952432470366405,0.0,1.0
1,0.25609756097560976,0.11324336542298344,0.47929757373774307,0.014405693530347628,0.40208293286439484,0.9277887361680569,0.47368421052631576,0.15817901234567902,0.015625,0.42857142857142855,0.1366087537955845,0.05141103313938506,0.40159318243668596
1,0.4344512195121951,0.09778066328455047,0.00854565746223348,0.0016977272878022313,0.7401421407154744,0.12761310724211597,0.4407894736842105,0.023919753086419752,1.0,0.0,0.8265196545489834,0.00813227066182591,1.0
1,0.2820121951219512,0.17422544786105226,0.3777958384200081,0.06978143062043331,0.3491417366643036,0.8595292896216643,0.4144736842105263,0.30478395061728397,0.0625,0.2857142857142857,0.2708383287600029,0.29817923054145185,0.3496789143907341
1,0.24847560975609756,0.049890134780274244,0.17995199008669652,0.008853807347259015,0.3509094566897978,0.20130981538433712,0.5328947368421053,0.2839506172839506,0.0625,0.42857142857142855,0.30117166873644485,0.10889262723180859,0.3922665610073487
1,0.4923780487804878,0.12726674114768366,0.045156415248926086,0.0024009488954032493,0.4546331093209968,0.6532191210819239,0.5,0.279320987654321,0.03125,0.2857142857142857,0.4325323173986602,0.04944717353325172,0.39951115031218953
1,0.015243902439024392,0.30521150809708075,0.6225376379930538,0.004801897790806499,0.4351062464415511,0.4509876339015206,0.45394736842105265,0.2847222222222222,0.0625,0.0,0.25373123015224935,0.07267437661933875,0.4477816416728847
1,0.010716463414634145,0.3722025238894066,0.5791434230111373,0.012004744477016245,0.5050290539285384,0.5335058477596715,0.40131578947368424,0.020061728395061727,0.0078125,0.42857142857142855,0.708927757524513,0.029317465269155123,0.14510416194466777
1,0.21189024390243902,0.016000575298779428,0.13402762023593467,0.016806643373319687,0.4004578200394672,0.08921627630834367,0.5592105263157895,0.2029320987654321,0.5,0.0,0.46834779343353483,0.5487856598019425,0.42981997019899776
1,0.4557926829268293,0.14221069475439205,0.10235073737743018,0.013093769513995119,0.46743423260232925,0.20698418768181748,0.5197368421052632,0.1558641975308642,0.25,0.2857142857142857,0.23083665898568012,0.10172343181563472,0.3699316520155128
1,0.09923780487804877,0.07344755905158065,0.05407224356630848,0.041060688781448626,0.89565231586001,0.4572177612810403,0.35526315789473684,0.12885802469135801,0.03125,0.0,0.7604929472555784,0.5306488431023303,0.3593945950060501
1,0.2865853658536585,0.14446729485715964,0.12312047707568972,0.012577016023704382,0.3424863544648516,0.4572177612810403,0.506578947368421,0.11959876543209877,0.015625,0.0,0.5634864762145343,0.18457566984243992,0.28149885643179184
1,0.3780487804878049,0.195694780910688,0.18611457136468684,0.04305952437731306,0.525824180845562,0.5558355337809373,0.4407894736842105,0.39814814814814814,0.03125,0.2857142857142857,0.39992337377532167,0.22364537766141449,0.34542551830335716
1,0.27286585365853655,0.358385307293472,0.3839254311160872,0.0024009488954032493,0.6428768449508482,0.22107603150090716,0.48026315789473684,0.005401234567901234,0.0078125,0.42857142857142855,0.6848850963435011,0.029317465269155123,0.35575391259992
1,0.6996951219512195,0.7021582751768872,0.0031015375086500675,0.0023996003470628685,0.6629616898502475,0.8568803189351164,0.3684210526315789,0.009259259259259259,0.03125,0.0,0.8212474419563928,0.06551854229118571,0.37512920549277856
1,0.3292682926829268,0.06722758089671109,0.2774192544784499,0.21233418730339923,0.4755450421358199,0.36144861849656557,0.625,0.24614197530864199,0.015625,0.0,0.3760147733615977,0.6785738874232898,0.4585091979767745
1,0.22865853658536583,0.042577812747734915,0.4463870260415987,0.1584889136028872,0.3497771302852553,0.7671421161149444,0.40789473684210525,0.26080246913580246,0.25,0.42857142857142855,0.3097028714978877,0.17815390562279,0.335893436740016
1,0.3231707317073171,0.22464978686802542,0.13659357903876537,0.07314628693583727,0.5016883621723793,0.9277887361680569,0.46710526315789475,0.1875,0.0078125,0.0,0.2802737830900298,0.12823340248734094,0.3926779454172256
1,0.3079268292682927,0.334008013624972,0.04294389125723015,0.021658924503087023,0.7036951311910857,0.509036339607774,0.4342105263157895,0.035493827160493825,0.0078125,0.0,0.7260108688405951,0.1320028360066691,0.2955755521625066
1,0.4100609756097561,0.13597891735882953,0.12012412642481297,0.029638066618509117,0.47102347536994105,0.7006654524187039,0.5,0.1882716049382716,0.03125,0.2857142857142857,0.2216081146890927,0.03636105110889728,0.49409309850436456
1,0.6341463414634146,0.43936071327065157,0.04018108426144747,0.0016977272878022313,0.5787711004115623,0.25245201650070764,0.3618421052631579,0.12191358024691358,0.0625,0.42857142857142855,0.326905503307732,0.03449587837542934,1.0
1,0.6158536585365854,0.7644512775907086,0.06155087443203332,0.016806643373319687,0.4746919375221377,0.0027741979835242602,0.46710526315789475,0.008487654320987654,0.0078125,0.42857142857142855,0.8047982606837918,0.01150064130499284,1.0
1,0.19359756097560976,0.1044330327574002,0.1279546814000705,0.10676985796259442,0.6543758409463075,0.4469644642438338,0.5197368421052632,0.470679012345679,0.015625,0.2857142857142857,0.3964402711260931,0.2835682111270755,0.35967885095801205
1,0.20884146341463414,0.006578495993031523,0.024097346102247057,0.050624534704233774,0.553786808127758,0.10505858911947344,0.40789473684210525,0.3001543209876543,0.5,0.0,0.5345142278563836,0.05747299368112383,0.6012848065789324
1,0.2972560975609756,0.12239145837304632,0.21157738056378853,0.0033954545756044625,0.3641636182306928,0.7566228844590372,0.32894736842105265,0.21141975308641975,0.5,0.2857142857142857,0.28693681490400036,0.1887301834355831,0.26201789390676106
